"Stem","Orders_Sum","WordsOfStem_Visits","StemC"
"73","12","pedigre chum(73)","pedigre chum"
"73","7","puppi collar(73)","puppi collar"
"73","11","royal canin sensit(73)","royal canin sensit"
"73","10","vitakraft(73)","vitakraft"
"72","1","ancol leather(72)","ancol leather"
"72","5","cat box(72)","cat box"
"72","1","cat flap staywel(72)","cat flap staywel"
"72","2","extern filter(72)","extern filter"
"72","0","indoor rabbit home(72)","indoor rabbit home"
"72","4","led(72)","led"
"72","3","low fat dog food(72)","low fat dog food"
"72","13","pedigre puppi food(72)","pedigre puppi food"
"72","0","pump(72)","pump"
"72","8","waterproof dog bed(72)","waterproof dog bed"
"71","3","ancol(71)","ancol"
"71","1","aqua nano(71)","aqua nano"
"71","5","cat carrier(71)","cat carrier"
"71","4","cat igloo(71)","cat igloo"
"71","5","dog ramp(71)","dog ramp"
"71","5","eye(71)","eye"
"71","1","fish filter(71)","fish filter"
"71","1","gate(71)","gate"
"71","8","pet head(71)","pet head"
"71","1","rabbit har(71)","rabbit har"
"71","2","tetra(71)","tetra"
"71","13","wellbelov(71)","wellbelov"
"71","18","wild bird seed(71)","wild bird seed"
"70","0","betta(70)","betta"
"70","4","birthday(70)","birthday"
"70","6","carefresh anim bed(70)","carefresh anim bed"
"70","2","collar light(70)","collar light"
"70","3","dog food contain(70)","dog food contain"
"70","9","felix kitten(70)","felix kitten"
"70","4","firework(70)","firework"
"70","1","fish tank gravel(70)","fish tank gravel"
"70","2","fish tank light(70)","fish tank light"
"70","4","frozen(70)","frozen"
"70","4","kong toy(70)","kong toy"
"70","10","natur menu cat(70)","natur menu cat"
"70","6","spongebob(70)","spongebob"
"70","11","wood cat litter(70)","wood cat litter"
"69","2","advantag flea(69)","advantag flea"
"69","1","book(69)","book"
"69","1","car guard(69)","car guard"
"69","2","dog basket(69)","dog basket"
"69","1","dog jacket(69)","dog jacket"
"69","3","dog mattress(69)","dog mattress"
"69","3","dog ramp car(69)","dog ramp car"
"69","6","grass(69)","grass"
"69","4","light(69)","light"
"69","0","stick insect(69)","stick insect"
"69","10","stock(69)","stock"
"178","6","thornit(69); ear cleaner(106); ear cleaner(3)","ear cleaner"
"68","5","aspen(68)","aspen"
"68","10","bandana dog(68)","bandana dog"
"68","2","bob martin flea clear spot on(68)","bob martin flea clear spot on"
"68","5","car har dog(68)","car har dog"
"68","10","dachshund(68)","dachshund"
"68","18","dental care(68)","dental care"
"68","5","guinea pig toy(68)","guinea pig toy"
"68","4","iam adult(68)","iam adult"
"68","16","royal canin bulldog(68)","royal canin bulldog"
"68","16","royal canin gastro(68)","royal canin gastro"
"68","15","train treat(68)","train treat"
"67","11","bird seed(67)","bird seed"
"67","10","bob martin(67)","bob martin"
"67","4","cricket(67)","cricket"
"67","2","dog bed cover(67)","dog bed cover"
"67","10","frolic(67)","frolic"
"67","3","hamster hous(67)","hamster hous"
"67","6","iam dog(67)","iam dog"
"67","1","pet bed(67)","pet bed"
"67","18","pig ear dog(67)","pig ear dog"
"67","9","probiot dog(67)","probiot dog"
"67","14","urinari(67)","urinari"
"67","9","wet cat food(67)","wet cat food"
"67","2","whistl(67)","whistl"
"66","2","cat wormer(66)","cat wormer"
"66","11","coachi(66)","coachi"
"66","6","dog mat(66)","dog mat"
"66","9","fishmong dog(66)","fishmong dog"
"66","3","gravel cleaner(66)","gravel cleaner"
"66","1","head collar(66)","head collar"
"66","13","rawhid dog(66)","rawhid dog"
"66","27","royal canin satieti(66)","royal canin satieti"
"66","8","scruff(66)","scruff"
"66","10","senior cat food(66)","senior cat food"
"66","0","vet(66)","vet"
"66","4","wild bird food(66)","wild bird food"
"65","4","anxieti dog(65)","anxieti dog"
"65","3","car seat cover(65)","car seat cover"
"65","12","christma tree(65)","christma tree"
"65","5","filter spong(65)","filter spong"
"65","3","guinea pig hutch(65)","guinea pig hutch"
"65","0","indoor rabbit cage(65)","indoor rabbit cage"
"65","4","rabbit toy(65)","rabbit toy"
"65","11","rope(65)","rope"
"65","8","stand(65)","stand"
"64","0","background(64)","background"
"64","6","chew(64)","chew"
"64","2","dog cone(64)","dog cone"
"64","10","glow ball(64)","glow ball"
"64","24","satieti(64)","satieti"
"63","6","dog mixer(63)","dog mixer"
"63","9","dog wipe(63)","dog wipe"
"63","3","dri puppi food(63)","dri puppi food"
"63","11","frozen dog food(63)","frozen dog food"
"63","8","gourmet gold(63)","gourmet gold"
"63","4","jame(63)","jame"
"63","5","squirrel(63)","squirrel"
"63","2","thunder(63)","thunder"
"62","7","burn chicken(62)","burn chicken"
"62","1","calm dog(62)","calm dog"
"62","4","christma collar(62)","christma collar"
"62","6","dri shampoo(62)","dri shampoo"
"62","0","indoor cage(62)","indoor cage"
"62","3","larg dog bed(62)","larg dog bed"
"62","9","light up collar(62)","light up collar"
"62","2","purina ha(62)","purina ha"
"62","3","water(62)","water"
"61","4","bulldog(61)","bulldog"
"61","0","dog bath(61)","dog bath"
"61","16","dreami cat treat(61)","dreami cat treat"
"61","0","exercis wheel(61)","exercis wheel"
"61","5","fluval u2(61)","fluval u2"
"61","3","food bowl(61)","food bowl"
"61","3","hors(61)","hors"
"61","1","igloo bed(61)","igloo bed"
"61","1","marina(61)","marina"
"61","12","meow head(61)","meow head"
"61","6","pro kolin(61)","pro kolin"
"61","7","pro plan puppi(61)","pro plan puppi"
"61","4","red dingo(61)","red dingo"
"61","22","royal canin dental(61)","royal canin dental"
"61","4","waterproof dog raincoat(61)","waterproof dog raincoat"
"60","4","antibacteri(60)","antibacteri"
"60","20","arden grang adult(60)","arden grang adult"
"60","9","cat stock(60)","cat stock"
"60","4","chappi dog(60)","chappi dog"
"60","8","chew(60)","chew"
"60","4","curver(60)","curver"
"60","8","cushion(60)","cushion"
"60","18","dental dog(60)","dental dog"
"60","10","dog gravi(60)","dog gravi"
"60","2","dog muzzl(60)","dog muzzl"
"60","4","dog treat(60)","dog treat"
"60","14","guinea pig nugget(60)","guinea pig nugget"
"60","12","kong ball(60)","kong ball"
"60","2","plug in(60)","plug in"
"60","2","puppi toy(60)","puppi toy"
"60","13","pure(60)","pure"
"60","6","reflect dog(60)","reflect dog"
"60","9","rope toy(60)","rope toy"
"60","21","royal canin obes(60)","royal canin obes"
"60","4","shih tzu(60)","shih tzu"
"60","2","snuggl safe(60)","snuggl safe"
"152","11","stop bark(60); anti bark(74); anti bark(17); anti bark(1)","anti bark"
"60","5","storag contain(60)","storag contain"
"60","8","stress(60)","stress"
"59","11","bluebel hutch cover(59)","bluebel hutch cover"
"59","1","degu cage(59)","degu cage"
"59","3","dog bag(59)","dog bag"
"59","12","dog chew(59)","dog chew"
"59","2","dog igloo(59)","dog igloo"
"59","1","guinea pig cage(59)","guinea pig cage"
"59","0","hous(59)","hous"
"59","4","lili(59)","lili"
"59","3","poppi den(59)","poppi den"
"59","19","royal canin neuter(59)","royal canin neuter"
"59","9","wainwright wainwright(59)","wainwright wainwright"
"58","7","bark(58)","bark"
"58","5","cake(58)","cake"
"58","13","chocol(58)","chocol"
"58","4","dog calendar(58)","dog calendar"
"58","5","dog coat pet(58)","dog coat pet"
"58","6","dog cushion(58)","dog cushion"
"58","8","dog stock christma(58)","dog stock christma"
"58","11","dog stock(58)","dog stock"
"58","2","dog towel(58)","dog towel"
"58","8","fish oil(58)","fish oil"
"58","23","hill zd(58)","hill zd"
"58","1","id tag(58)","id tag"
"58","0","lizard(58)","lizard"
"58","9","mealworm(58)","mealworm"
"58","9","milk(58)","milk"
"58","13","okoplus(58)","okoplus"
"58","1","petsaf(58)","petsaf"
"58","13","sheba pouch(58)","sheba pouch"
"58","20","smartbon(58)","smartbon"
"58","0","snail(58)","snail"
"58","0","spider(58)","spider"
"58","8","tortois food(58)","tortois food"
"57","6","as good as it look(57)","as good as it look"
"57","11","autarki(57)","autarki"
"57","10","bluebel hutch(57)","bluebel hutch"
"57","11","burn puppi(57)","burn puppi"
"57","5","car boot protector(57)","car boot protector"
"57","0","christma rabbit(57)","christma rabbit"
"57","3","christma xmas(57)","christma xmas"
"57","3","dog travel(57)","dog travel"
"57","3","door mat(57)","door mat"
"57","13","hay rabbit(57)","hay rabbit"
"57","6","pedigre pouch(57)","pedigre pouch"
"57","0","plant(57)","plant"
"57","4","puppi bed(57)","puppi bed"
"57","2","rabbit cage(57)","rabbit cage"
"57","2","retract lead(57)","retract lead"
"57","1","reward(57)","reward"
"57","1","shrimp(57)","shrimp"
"57","1","tropic fish tank(57)","tropic fish tank"
"57","3","vitalin(57)","vitalin"
"57","7","well grain free(57)","well grain free"
"57","21","zd(57)","zd"
"56","1","aquarium heater(56)","aquarium heater"
"56","3","bath sand(56)","bath sand"
"56","9","feed mat(56)","feed mat"
"56","5","frisbe(56)","frisbe"
"56","4","guinea pig bed(56)","guinea pig bed"
"56","2","hypoallergen cat food(56)","hypoallergen cat food"
"56","6","laser toy(56)","laser toy"
"56","10","oval cushion(56)","oval cushion"
"56","7","pooper scooper(56)","pooper scooper"
"56","13","rabbit nugget(56)","rabbit nugget"
"56","6","santa hat(56)","santa hat"
"56","5","senior cat(56)","senior cat"
"56","2","sock(56)","sock"
"56","7","tenni ball(56)","tenni ball"
"56","1","uv(56)","uv"
"56","6","willow(56)","willow"
"55","3","boot(55)","boot"
"55","3","button and bear(55)","button and bear"
"55","3","cat cloth(55)","cat cloth"
"55","4","dog boot dog(55)","dog boot dog"
"55","3","dog spray(55)","dog spray"
"55","2","larg dog bed(55)","larg dog bed"
"55","4","moss(55)","moss"
"55","5","odour(55)","odour"
"55","5","peanut wild bird(55)","peanut wild bird"
"55","5","rogz(55)","rogz"
"55","13","whiska kitten(55)","whiska kitten"
"54","8","3 peak dog(54)","3 peak dog"
"54","3","calm spray(54)","calm spray"
"54","2","chinchilla cage(54)","chinchilla cage"
"54","5","cocker spaniel(54)","cocker spaniel"
"54","4","diffus(54)","diffus"
"54","5","dog coat dog(54)","dog coat dog"
"54","4","dog wormer(54)","dog wormer"
"54","3","fishmong dog food(54)","fishmong dog food"
"54","2","flea treatment(54)","flea treatment"
"54","16","hay small anim(54)","hay small anim"
"54","4","hous of paw(54)","hous of paw"
"54","6","inflat collar(54)","inflat collar"
"54","10","pet wipe(54)","pet wipe"
"54","4","puppi collar(54)","puppi collar"
"54","5","rat food(54)","rat food"
"54","12","sawdust bed(54)","sawdust bed"
"54","7","spaniel bowl(54)","spaniel bowl"
"54","0","stick insect(54)","stick insect"
"54","6","tin cat food(54)","tin cat food"
"54","7","vetzym(54)","vetzym"
"53","4","bark(53)","bark"
"53","4","beagl(53)","beagl"
"53","20","breeder celect(53)","breeder celect"
"53","2","cat repel(53)","cat repel"
"53","6","catnip spray(53)","catnip spray"
"53","1","christma fish(53)","christma fish"
"53","9","christma treat(53)","christma treat"
"53","1","diaper(53)","diaper"
"53","7","diaper(53)","diaper"
"53","5","ear(53)","ear"
"53","2","heather hutch(53)","heather hutch"
"53","9","love fish panorama(53)","love fish panorama"
"53","3","luxuri heat squar bed(53)","luxuri heat squar bed"
"53","9","pedigre dog(53)","pedigre dog"
"53","8","penguin(53)","penguin"
"53","3","plastic dog bed(53)","plastic dog bed"
"53","0","slip lead(53)","slip lead"
"53","1","tube(53)","tube"
"53","4","water fountain cat(53)","water fountain cat"
"53","4","waterproof(53)","waterproof"
"52","0","cat water fountain(52)","cat water fountain"
"52","6","dog bowl dog(52)","dog bowl dog"
"52","0","dog carrier(52)","dog carrier"
"52","3","dog puzzl(52)","dog puzzl"
"52","2","greyhound coat(52)","greyhound coat"
"52","2","heat pad rabbit(52)","heat pad rabbit"
"52","1","jumper(52)","jumper"
"52","3","kong wobbler(52)","kong wobbler"
"52","0","light(52)","light"
"52","5","long lead(52)","long lead"
"52","3","purina one dog food(52)","purina one dog food"
"52","2","rabbit hutch rabbit(52)","rabbit hutch rabbit"
"52","4","raw dog food(52)","raw dog food"
"52","10","raw hide(52)","raw hide"
"52","5","reflect rang(52)","reflect rang"
"52","2","royal canin maxi junior(52)","royal canin maxi junior"
"52","11","sausag(52)","sausag"
"52","4","teddi bed(52)","teddi bed"
"52","4","thundershirt(52)","thundershirt"
"318","55","virbac(52); dog chew(177); dog chew(59); tooth brush(16); tooth past(11); tooth brush(2); dog chew(1)","dog chew"
"51","7","aatu 80 20(51)","aatu 80 20"
"51","4","alfalfa(51)","alfalfa"
"51","5","alga(51)","alga"
"51","6","applaw kitten(51)","applaw kitten"
"51","10","ball dog(51)","ball dog"
"51","1","biorb biorb(51)","biorb biorb"
"51","2","cat blanket(51)","cat blanket"
"51","0","cat hous(51)","cat hous"
"51","0","chicken coop(51)","chicken coop"
"51","5","claw clipper(51)","claw clipper"
"51","4","dandelion den(51)","dandelion den"
"51","5","dog christma stock(51)","dog christma stock"
"51","4","dog nail clipper(51)","dog nail clipper"
"51","4","fish tank ornament(51)","fish tank ornament"
"51","5","flea fogger(51)","flea fogger"
"51","4","food mat(51)","food mat"
"51","3","frontlin spot(51)","frontlin spot"
"51","3","gentl leader(51)","gentl leader"
"51","7","goldfish food(51)","goldfish food"
"51","4","hamster toilet(51)","hamster toilet"
"51","7","hypoallergen dog(51)","hypoallergen dog"
"51","9","joint supplement(51)","joint supplement"
"51","1","ladder(51)","ladder"
"51","6","medic shampoo(51)","medic shampoo"
"51","2","puppi crate(51)","puppi crate"
"51","10","rice bone(51)","rice bone"
"51","2","sensit stomach dog food(51)","sensit stomach dog food"
"51","3","wet kitten food(51)","wet kitten food"
"50","0","cat tower(50)","cat tower"
"50","9","dentaflex(50)","dentaflex"
"50","1","dog food dri(50)","dog food dri"
"50","1","german shepherd(50)","german shepherd"
"50","2","halti dog(50)","halti dog"
"50","22","hill kd(50)","hill kd"
"50","3","kibbl(50)","kibbl"
"50","6","kong extrem(50)","kong extrem"
"50","2","laugh dog food(50)","laugh dog food"
"50","14","layer pellet(50)","layer pellet"
"50","3","light dog food(50)","light dog food"
"50","16","litter tray liner(50)","litter tray liner"
"50","4","mikki(50)","mikki"
"50","6","reflect dog walk(50)","reflect dog walk"
"50","2","retract dog lead(50)","retract dog lead"
"50","0","rspca(50)","rspca"
"50","1","small anim bed(50)","small anim bed"
"50","5","spencer deli(50)","spencer deli"
"50","10","tenni ball(50)","tenni ball"
"50","8","towel(50)","towel"
"50","3","wagg puppi(50)","wagg puppi"
"50","4","water treatment(50)","water treatment"
"50","4","yorkshir terrier(50)","yorkshir terrier"
"49","12","arden grang sensit(49)","arden grang sensit"
"49","3","cat spray(49)","cat spray"
"49","6","dog ear drop(49)","dog ear drop"
"49","3","dog har dog(49)","dog har dog"
"49","0","dog hous(49)","dog hous"
"49","0","dog pen(49)","dog pen"
"49","3","fish tank aquarium(49)","fish tank aquarium"
"49","2","foobler electron time(49)","foobler electron time"
"49","5","hi vis(49)","hi vis"
"49","4","lili(49)","lili"
"49","1","mang(49)","mang"
"49","5","poop bag dispens(49)","poop bag dispens"
"49","6","prescript diet(49)","prescript diet"
"49","1","syring(49)","syring"
"49","2","tray(49)","tray"
"49","5","wainwright frozen(49)","wainwright frozen"
"49","10","wainwright kitten(49)","wainwright kitten"
"49","1","wet puppi food(49)","wet puppi food"
"49","2","yumega dog(49)","yumega dog"
"48","3","basket(48)","basket"
"48","2","beard dragon(48)","beard dragon"
"48","5","bird bath(48)","bird bath"
"48","11","cat flea collar(48)","cat flea collar"
"48","5","cat litter clump(48)","cat litter clump"
"48","2","dog light(48)","dog light"
"48","1","fish tank light(48)","fish tank light"
"48","0","fish tank pump(48)","fish tank pump"
"48","2","flee(48)","flee"
